1,,PRODUCT,,,,Tarifa Tarjeta Duo,Critical,Tarifa Tarjeta Duo,,false,true,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,F2,,,,
38,,PRODUCT,,,,Tarifa Contrato Libre 6,Critical,Tarifa Contrato Libre 6,,false,true,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,F2,,,,
69,,PRODUCT,,,,Coste cambio numero de telefono,Critical,Coste cambio numero de telefono,,false,true,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,F2,,,,
93,,PRODUCT,,,,Identificación Número Llamante,Critical,Identificación Número Llamante,,false,true,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,F2,,,,
95,,PRODUCT,,,,Aviso de llamadas,Critical,Aviso de llamadas,,false,true,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,F2,,,,
98,,PRODUCT,,,,Retencion de Llamada,Critical,Retencion de Llamada,,false,true,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,F2,,,,
99,,PRODUCT,,,,Llamada en Espera,Critical,Llamada en Espera,,false,true,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,F2,,,,
100,,PRODUCT,,,,Multi Conferencia,Critical,Multi Conferencia,,false,true,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,F2,,,,
152,,PRODUCT,,,,Tarifa Contrato Libre Exclusivo,Critical,Tarifa Contrato Libre Exclusivo,,false,true,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,F2,,,,
156,,PRODUCT,,,,Tarifa Empresa 6,Critical,Tarifa Empresa 6,,false,true,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,F2,,,,
427,,PRODUCT,,,,Descuento empleado,Critical,Descuento empleado,,false,true,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,F2,,,,
466,,PRODUCT,,,,Tarifa GPRS Empresa,Critical,Tarifa GPRS Empresa,,false,true,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,F2,,,,
578,,PRODUCT,,,,Bloq. Llam. 907/803/806/8076-9,Critical,Bloq. Llam. 907/803/806/8076-9,,false,true,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,F2,,,,
579,,PRODUCT,,,,Bloq. Llam. 803/806/8070-5/905,Critical,Bloq. Llam. 803/806/8070-5/905,,false,true,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,F2,,,,
615,,PRODUCT,,,,Descuento 30% Portabilidad,Critical,Descuento 30% Portabilidad,,false,true,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,F2,,,,
Terminal Administrativo SBP,,BASIC,,,,Terminal Administrativo SBP,BSS,Terminal Administrativo SBP,,false,true,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,F2,,,,
Terminal dummy,,PRODUCT,,,,Terminal dummy,Critical,Terminal dummy,,false,true,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,F2,,,,
Terminal Facturación BP,,BASIC,,,,Terminal Facturación BP,BSS,Terminal Facturación BP,,false,true,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,F2,,,,
Terminal Facturacion Simple BP,,BASIC,,,,Terminal Facturacion Simple BP,BSS,Terminal Facturacion Simple BP,,false,true,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,F2,,,,
Terminal generico,,PRODUCT,,,,Terminal generico,Critical,Terminal generico,,false,true,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,F2,,,,
Terminal generico Reseg,,PRODUCT,,,,Terminal generico Reseg,Critical,Terminal generico Reseg,,false,true,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,F2,,,,
Terminal generico Reseg Scdr,,DERIVATIVE,,,,Terminal generico Reseg,Secondary,Terminal generico Reseg,,false,true,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,F2,,,,
Terminal generico Scdr,,DERIVATIVE,,,,Terminal generico,Secondary,Terminal generico,,false,true,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,F2,,,,
Terminal Inventario Recursos BP,,BASIC,,,,Terminal Inventario Recursos BP,BSS,Terminal Inventario Recursos BP,,false,true,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,F2,,,,
Terminal Marketing Renove BP,,BASIC,,,,Terminal Marketing Renove BP,BSS,Terminal Marketing Renove BP,,false,true,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,F2,,,,
Terminal Pago Facturación BP,,BASIC,,,,Terminal Pago Facturación BP,BSS,Terminal Pago Facturación BP,,false,true,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,F2,,,,
Venta Plazos Facturación BP,,BASIC,,,,Venta Plazos Facturación BP,BSS,Venta Plazos Facturación BP,,false,true,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,F2,,,,